self_time	total_time	line	self_time_per_call	method	num_calls	total_time_per_call	file
0.098339	0.171783	88	1.1022080251064784e-06	"parseImpl"	89220	1.9253866845998656e-06	"C:/Users/kyle/code/mo-parsing/mo_parsing/tokens.py"
4e-07	4e-07	93	2e-07	"__str__"	2	2e-07	"C:/Users/kyle/code/mo-parsing/mo_parsing/tokens.py"
0.17169089999999998	0.2428997	98	8.120191830190552e-07	"parseImpl"	211437	1.148804135510814e-06	"C:/Users/kyle/code/mo-parsing/mo_parsing/tokens.py"
0.0373866	0.0837429	193	9.618863846866316e-07	"parseImpl"	38868	2.1545461562210557e-06	"C:/Users/kyle/code/mo-parsing/mo_parsing/tokens.py"
0.12661799999999998	0.25585569999999996	460	1.2165800320916243e-06	"parseImpl"	104077	2.45833085119671e-06	"C:/Users/kyle/code/mo-parsing/mo_parsing/tokens.py"
0.2644953	0.5809561999999999	565	1.168972832500232e-06	"parseImpl"	226263	2.5676146784936113e-06	"C:/Users/kyle/code/mo-parsing/mo_parsing/tokens.py"
0.053497699999999995	0.0796254	578	4.41138102777228e-07	"__str__"	121272	6.565851969127251e-07	"C:/Users/kyle/code/mo-parsing/mo_parsing/tokens.py"
3.5e-06	1.29e-05	998	3.5e-06	"__init__"	1	1.29e-05	"C:/Users/kyle/code/mo-parsing/mo_parsing/tokens.py"
5.4e-06	3.26e-05	1072	5.4e-06	"__init__"	1	3.26e-05	"C:/Users/kyle/code/mo-parsing/mo_parsing/tokens.py"
0.0383637	0.0752925	1077	6.326885018800713e-07	"parseImpl"	60636	1.2417128438551355e-06	"C:/Users/kyle/code/mo-parsing/mo_parsing/tokens.py"
0.0051126999999999995	0.007147799999999999	131	0.0025563499999999998	"_flatten"	2	0.0035738999999999996	"C:/Users/kyle/code/mo-parsing/mo_parsing/helpers.py"
5e-07	5e-07	588	5e-07	"replaceWith"	1	5e-07	"C:/Users/kyle/code/mo-parsing/mo_parsing/helpers.py"
0.016553699999999998	0.0961732	600	6.221792076975117e-07	"removeQuotes"	26606	3.6147184845523566e-06	"C:/Users/kyle/code/mo-parsing/mo_parsing/helpers.py"
0.0358997	0.0927008	625	1.3488014727983169e-06	"listcomp"	26616	3.482897505259994e-06	"C:/Users/kyle/code/mo-parsing/mo_parsing/helpers.py"
0.027017199999999998	0.11971799999999999	624	1.01507363991584e-06	"pa"	26616	4.497971145175834e-06	"C:/Users/kyle/code/mo-parsing/mo_parsing/helpers.py"
0.0147519	0.018960599999999998	640	5.542493237150587e-07	"lambda"	26616	7.12376014427412e-07	"C:/Users/kyle/code/mo-parsing/mo_parsing/helpers.py"
0.0108801	0.0835276	672	5.581542092033037e-07	"lambda"	19493	4.285004873544349e-06	"C:/Users/kyle/code/mo-parsing/mo_parsing/helpers.py"
1.9e-06	1.9e-06	1040	9.5e-07	"reset_stack"	2	9.5e-07	"C:/Users/kyle/code/mo-parsing/mo_parsing/helpers.py"
5.5e-06	1.87e-05	117	5.5e-06	"assertAlmostEqual"	1	1.87e-05	"C:/Python37/lib/site-packages/mo_testing/fuzzytestcase.py"
7.2e-06	9.1e-06	199	7.2e-06	"assertAlmostEqualValue"	1	9.1e-06	"C:/Python37/lib/site-packages/mo_testing/fuzzytestcase.py"
1.9e-06	1.9e-06	278	1.9e-06	"is_null_op"	1	1.9e-06	"C:/Python37/lib/site-packages/mo_testing/fuzzytestcase.py"
6.17e-05	0.0001838	10	6.17e-05	"module"	1	0.0001838	"C:/Python37/lib/site-packages/mo_files/url.py"
6.5e-06	8.8e-06	1	6.5e-06	"module"	1	8.8e-06	"C:/Python37/lib/site-packages/mo_files/mimetype.py"
1.6999999999999998e-06	1.6999999999999998e-06	15	1.6999999999999998e-06	"URL"	1	1.6999999999999998e-06	"C:/Python37/lib/site-packages/mo_files/url.py"
5.41e-05	6.67e-05	142	3.7569444444444446e-07	"int2hex"	144	4.631944444444444e-07	"C:/Python37/lib/site-packages/mo_files/url.py"
1.59e-05	2.8599999999999997e-05	161	1.59e-05	"dictcomp"	1	2.8599999999999997e-05	"C:/Python37/lib/site-packages/mo_files/url.py"
2.4e-06	2.4e-06	58	2.4e-06	"MimeTypes"	1	2.4e-06	"C:/Python37/lib/mimetypes.py"
8.4e-06	8.4e-06	384	8.4e-06	"_default_mime_types"	1	8.4e-06	"C:/Python37/lib/mimetypes.py"
1.24e-05	3.9099999999999995e-05	24	1.24e-05	"module"	1	3.9099999999999995e-05	"C:/Python37/lib/mimetypes.py"
1.62e-05	1.62e-05	30	1.62e-05	"File"	1	1.62e-05	"C:/Python37/lib/site-packages/mo_files/__init__.py"
1.2999999999999998e-06	1.2999999999999998e-06	441	1.2999999999999998e-06	"TempDirectory"	1	1.2999999999999998e-06	"C:/Python37/lib/site-packages/mo_files/__init__.py"
1.5e-06	1.5e-06	462	1.5e-06	"TempFile"	1	1.5e-06	"C:/Python37/lib/site-packages/mo_files/__init__.py"
2.7e-05	0.0025859	10	2.7e-05	"module"	1	0.0025859	"C:/Python37/lib/site-packages/mo_files/__init__.py"
0.0063158	0.0063158	0	2.3319302909466844e-07	"built-in method __new__ of type object at 0x00007FFF14EA69A0"	27084	2.3319302909466844e-07	null
3.2e-06	3.2e-06	0	8e-07	"built-in method _abc._abc_instancecheck"	4	8e-07	null
0.2564656	0.2564656	0	6.946371692921064e-07	"method 'match' of 're.Pattern' objects"	369208	6.946371692921064e-07	null
3.9099999999999995e-05	0.0004262	0	5.585714285714285e-06	"method 'sub' of 're.Pattern' objects"	7	6.0885714285714286e-05	null
0.025489099999999997	0.025489099999999997	0	2.758441193021947e-07	"method 'group' of 're.Match' objects"	92404	2.758441193021947e-07	null
