file	self_time_per_call	self_time	num_calls	line	total_time_per_call	total_time	method
"<frozen importlib._bootstrap_external>"	3.1625e-06	2.53e-05	8	62	3.9874999999999995e-06	3.1899999999999996e-05	"_path_split"
"<frozen importlib._bootstrap>"	2.3333333333333333e-07	2.8e-06	12	855	3.25e-07	3.9e-06	"__enter__"
"<frozen importlib._bootstrap>"	4.7499999999999995e-07	5.7e-06	12	859	7e-07	8.4e-06	"__exit__"
"<frozen importlib._bootstrap_external>"	8.08695652173913e-07	1.8599999999999998e-05	23	74	5.4947826086956525e-05	0.0012638	"_path_stat"
"<frozen importlib._bootstrap>"	7.6e-06	3.04e-05	4	882	0.00043034999999999997	0.0017213999999999999	"_find_spec"
"<frozen importlib._bootstrap>"	4.025e-06	1.61e-05	4	948	0.0010561	0.0042244	"_find_and_load_unlocked"
"<frozen importlib._bootstrap>"	5.7999999999999995e-06	2.3199999999999998e-05	4	978	0.0010666	0.0042664	"_find_and_load"
"<frozen importlib._bootstrap>"	8.684210526315788e-07	1.6499999999999998e-05	19	1009	3.457368421052631e-05	0.0006569	"_handle_fromlist"
"<frozen importlib._bootstrap_external>"	1.8e-06	1.26e-05	7	84	6.441428571428571e-05	0.00045089999999999996	"_path_is_mode_type"
"<frozen importlib._bootstrap_external>"	9.499999999999999e-07	5.7e-06	6	93	7.176666666666667e-05	0.0004306	"_path_isfile"
"<frozen importlib._bootstrap_external>"	8e-07	8e-07	1	98	2.6799999999999998e-05	2.6799999999999998e-05	"_path_isdir"
"<frozen importlib._bootstrap_external>"	3.8625e-06	3.09e-05	8	271	1.0962499999999999e-05	8.769999999999999e-05	"cache_from_source"
"<frozen importlib._bootstrap_external>"	2.3249999999999998e-06	9.299999999999999e-06	4	369	1.7275e-05	6.91e-05	"_get_cached"
"<frozen importlib._bootstrap_external>"	1.6499999999999999e-06	6.5999999999999995e-06	4	401	1.9749999999999997e-06	7.899999999999999e-06	"_check_name_wrapper"
"<frozen importlib._bootstrap_external>"	2.675e-06	1.07e-05	4	438	4.725e-06	1.89e-05	"_classify_pyc"
"<frozen importlib._bootstrap_external>"	1.05e-06	4.2e-06	4	471	2e-06	8e-06	"_validate_timestamp_pyc"
"<frozen importlib._bootstrap_external>"	2.8e-06	1.12e-05	4	523	0.0001051	0.0004204	"_compile_bytecode"
"<frozen importlib._bootstrap_external>"	5.2749999999999995e-06	2.1099999999999998e-05	4	574	7.3999999999999995e-06	2.9599999999999998e-05	"spec_from_file_location"
"<frozen importlib._bootstrap_external>"	2e-07	8e-07	4	719	2e-07	8e-07	"create_module"
"<frozen importlib._bootstrap_external>"	3.425e-06	1.37e-05	4	722	0.000752675	0.0030107	"exec_module"
"<frozen importlib._bootstrap_external>"	1.0824999999999999e-05	4.3299999999999995e-05	4	793	0.00047312499999999997	0.0018924999999999999	"get_code"
"<frozen importlib._bootstrap_external>"	1.2499999999999999e-06	4.9999999999999996e-06	4	884	1.2499999999999999e-06	4.9999999999999996e-06	"__init__"
"<frozen importlib._bootstrap_external>"	3.2499999999999996e-07	1.2999999999999998e-06	4	909	3.2499999999999996e-07	1.2999999999999998e-06	"get_filename"
"<frozen importlib._bootstrap_external>"	0.000267775	0.0010711	4	914	0.00029995	0.0011998	"get_data"
"<frozen importlib._bootstrap_external>"	1.2999999999999998e-06	5.199999999999999e-06	4	951	4.0224999999999995e-05	0.00016089999999999998	"path_stats"
"<frozen importlib._bootstrap_external>"	5.1399999999999996e-05	5.1399999999999996e-05	1	1190	9.03e-05	9.03e-05	"_path_hooks"
"<frozen importlib._bootstrap_external>"	8.142857142857142e-07	1.14e-05	14	1203	7.264285714285714e-06	0.00010169999999999999	"_path_importer_cache"
"<frozen importlib._bootstrap_external>"	9.275e-06	3.71e-05	4	1240	0.00041485	0.0016594	"_get_spec"
"<frozen importlib._bootstrap_external>"	1.2749999999999999e-06	5.0999999999999995e-06	4	1272	0.000416125	0.0016645	"find_spec"
"<frozen importlib._bootstrap_external>"	1.5e-07	1.2e-06	8	1325	1.5e-07	1.2e-06	"genexpr"
"<frozen importlib._bootstrap_external>"	6e-06	6e-06	1	1319	9.7e-06	9.7e-06	"__init__"
"<frozen importlib._bootstrap_external>"	2.075e-06	8.3e-06	4	1351	1.0725e-05	4.29e-05	"_get_spec"
"<frozen importlib._bootstrap_external>"	1.1549999999999998e-05	0.00013859999999999998	12	1356	0.000125525	0.0015063	"find_spec"
"<frozen importlib._bootstrap_external>"	1e-06	1e-06	1	1433	1.4e-06	1.4e-06	"setcomp"
"<frozen importlib._bootstrap_external>"	1.1799999999999999e-05	1.1799999999999999e-05	1	1404	6.58e-05	6.58e-05	"_fill_cache"
"<frozen importlib._bootstrap_external>"	2.4e-06	2.4e-06	1	1445	3.89e-05	3.89e-05	"path_hook_for_FileFinder"
"C:/Python37/lib/site-packages/mo_logs/__init__.py"	5.7999999999999995e-06	5.7999999999999995e-06	1	114	1.71e-05	1.71e-05	"stop"
"C:/Python37/lib/site-packages/mo_logs/__init__.py"	6.36e-06	3.18e-05	5	197	0.00010624	0.0005312	"note"
"C:/Python37/lib/site-packages/mo_logs/__init__.py"	5.84e-06	2.9199999999999998e-05	5	397	9.52e-05	0.00047599999999999997	"_annotate"
"C:/Python37/lib/site-packages/mo_dots/__init__.py"	5.5e-07	2.2e-06	4	43	1.6e-06	6.4e-06	"coalesce"
"C:/Python37/lib/inspect.py"	4e-07	4e-07	1	2839	4e-07	4e-07	"return_annotation"
"C:/Python37/lib/inspect.py"	3e-07	3e-07	1	2835	3e-07	3e-07	"parameters"
"C:/Python37/lib/inspect.py"	4.6e-06	4.6e-06	1	2750	4.8e-06	4.8e-06	"__init__"
"C:/Python37/lib/inspect.py"	2e-07	2e-07	1	2799	2e-07	2e-07	"genexpr"
"C:/Python37/lib/site-packages/mo_dots/__init__.py"	2.5e-07	2.4999999999999998e-06	10	302	2.5e-07	2.4999999999999998e-06	"_getdefault"
"C:/Python37/lib/inspect.py"	9.1e-06	9.1e-06	1	1089	3.4e-05	3.4e-05	"getfullargspec"
"C:/Python37/lib/inspect.py"	4.5e-07	9e-07	2	158	5.5e-07	1.1e-06	"isfunction"
"C:/Python37/lib/site-packages/mo_dots/__init__.py"	9.444444444444444e-07	1.7e-05	18	577	9.444444444444444e-07	1.7e-05	"from_data"
"C:/Python37/lib/site-packages/mo_dots/__init__.py"	7.421052631578947e-07	1.4099999999999999e-05	19	490	7.526315789473683e-07	1.4299999999999999e-05	"to_data"
"C:/Python37/lib/site-packages/mo_dots/datas.py"	1.05e-06	8.4e-06	8	64	1.1e-06	8.8e-06	"__init__"
"C:/Python37/lib/inspect.py"	7e-06	7e-06	1	2198	2.2499999999999998e-05	2.2499999999999998e-05	"_signature_from_callable"
"C:/Python37/lib/inspect.py"	9.1e-06	9.1e-06	1	2117	1.44e-05	1.44e-05	"_signature_from_function"
"C:/Python37/lib/site-packages/mo_dots/datas.py"	2.6454545454545455e-06	2.91e-05	11	112	5.363636363636364e-06	5.9e-05	"__getitem__"
