file	self_time_per_call	self_time	num_calls	line	total_time_per_call	total_time	method
"C:/Python37/lib/site-packages/mo_threads/threads.py"	6.699999999999999e-06	6.699999999999999e-06	1	111	1.17e-05	1.17e-05	"remove_child"
"C:/Python37/lib/site-packages/mo_threads/threads.py"	2.34e-05	2.34e-05	1	129	0.0706334	0.0706334	"stop"
"C:/Python37/lib/site-packages/mo_threads/threads.py"	4.8e-06	4.8e-06	1	290	0.0001496	0.0001496	"stop"
"C:/Python37/lib/site-packages/mo_threads/threads.py"	1.63e-05	1.63e-05	1	406	0.0661379	0.0661379	"join"
"C:/Python37/lib/site-packages/mo_threads/threads.py"	3e-06	6e-06	2	454	3.7499999999999997e-06	7.499999999999999e-06	"current"
"C:/Python37/lib/site-packages/mo_threads/profiles.py"	3e-07	3e-07	1	30	3e-07	3e-07	"__init__"
"C:/Python37/lib/site-packages/mo_threads/profiles.py"	1.03e-05	1.03e-05	1	80	0.004292	0.004292	"write_profiles"
"C:/Python37/lib/cProfile.py"	2.2e-06	2.2e-06	1	50	2.4e-06	2.4e-06	"create_stats"
"C:/Python37/lib/pstats.py"	3e-06	3e-06	1	89	1.3e-05	1.3e-05	"__init__"
"C:/Python37/lib/pstats.py"	4.9999999999999996e-06	4.9999999999999996e-06	1	99	9.8e-06	9.8e-06	"init"
"C:/Python37/lib/pstats.py"	1.4e-06	1.4e-06	1	118	4.8e-06	4.8e-06	"load_stats"
"C:/Python37/lib/site-packages/mo_times/timer.py"	2.4e-06	2.4e-06	1	31	7.6e-06	7.6e-06	"__init__"
"C:/Python37/lib/site-packages/mo_times/timer.py"	4.9e-06	4.9e-06	1	48	4.57e-05	4.57e-05	"__enter__"
"C:/Python37/lib/site-packages/mo_times/timer.py"	1.67e-05	1.67e-05	1	54	0.0002306	0.0002306	"__exit__"
"C:/Users/kyle/code/mo-parsing/mo_parsing/core.py"	3.2999999999999997e-06	6.5999999999999995e-06	2	81	7.149999999999999e-06	1.4299999999999999e-05	"__init__"
"C:/Users/kyle/code/mo-parsing/mo_parsing/core.py"	4.1e-06	4.1e-06	1	96	8.3e-06	8.3e-06	"copy"
"C:/Users/kyle/code/mo-parsing/mo_parsing/core.py"	4.1e-06	4.1e-06	1	152	6.34e-05	6.34e-05	"addParseAction"
"C:/Users/kyle/code/mo-parsing/mo_parsing/engine.py"	6e-07	6e-07	1	37	6e-07	6e-07	"__exit__"
"C:/Users/kyle/code/mo-parsing/mo_parsing/engine.py"	1.6e-06	1.6e-06	1	52	2e-06	2e-06	"normalize"
"C:/Users/kyle/code/mo-parsing/mo_parsing/engine.py"	3e-06	3e-06	1	92	5.0999999999999995e-06	5.0999999999999995e-06	"set_whitespace"
"C:/Users/kyle/code/mo-parsing/mo_parsing/engine.py"	9.279221136191219e-07	0.1687946	181906	104	1.0752443569755808e-06	0.1955934	"skip"
"C:/Users/kyle/code/mo-parsing/mo_parsing/results.py"	1.8e-06	1.8e-06	1	27	1.8e-06	1.8e-06	"__init__"
"C:/Users/kyle/code/mo-parsing/mo_parsing/engine.py"	7.643034784845865e-08	0.023171999999999998	303178	176	7.643034784845865e-08	0.023171999999999998	"noop"
"C:/Users/kyle/code/mo-parsing/mo_parsing/exceptions.py"	4.1647068524779416e-07	0.0252527	60635	17	4.997987960748743e-07	0.0303053	"__init__"
"C:/Users/kyle/code/mo-parsing/mo_parsing/core.py"	4.7237468149846216e-06	0.5728535	121271	208	9.962860040735212e-06	1.208206	"_parse"
"C:/Users/kyle/code/mo-parsing/mo_parsing/core.py"	6e-07	6e-07	1	413	6e-07	6e-07	"listcomp"
