line	num_calls	total_time_per_call	total_time	file	method	self_time	self_time_per_call
48	5	7.96e-06	3.98e-05	"C:/Python37/lib/site-packages/mo_logs/log_usingStream.py"	"write"	1.1599999999999999e-05	2.32e-06
49	2	9e-07	1.8e-06	"C:/Python37/lib/site-packages/mo_threads/signals.py"	"__bool__"	1.8e-06	9e-07
55	1	0.060369599999999995	0.060369599999999995	"C:/Python37/lib/site-packages/mo_threads/signals.py"	"wait"	9.1e-06	9.1e-06
77	3	1.6666666666666665e-06	4.9999999999999996e-06	"C:/Python37/lib/site-packages/mo_threads/signals.py"	"go"	4.9999999999999996e-06	1.6666666666666665e-06
151	1	5e-07	5e-07	"C:/Python37/lib/site-packages/mo_threads/signals.py"	"__or__"	5e-07	5e-07
65	1	6e-06	6e-06	"C:/Users/kyle/code/mo-parsing/mo_parsing/core.py"	"output"	5.0999999999999995e-06	5.0999999999999995e-06
81	2	7.6e-06	1.52e-05	"C:/Users/kyle/code/mo-parsing/mo_parsing/core.py"	"__init__"	7.499999999999999e-06	3.7499999999999997e-06
111	1	3.02e-05	3.02e-05	"C:/Python37/lib/site-packages/mo_threads/threads.py"	"remove_child"	1.84e-05	1.84e-05
129	1	0.0651718	0.0651718	"C:/Python37/lib/site-packages/mo_threads/threads.py"	"stop"	2.4599999999999998e-05	2.4599999999999998e-05
290	1	0.0001357	0.0001357	"C:/Python37/lib/site-packages/mo_threads/threads.py"	"stop"	4.1e-06	4.1e-06
406	1	0.060528	0.060528	"C:/Python37/lib/site-packages/mo_threads/threads.py"	"join"	3.59e-05	3.59e-05
454	2	2.9499999999999997e-06	5.899999999999999e-06	"C:/Python37/lib/site-packages/mo_threads/threads.py"	"current"	4.9e-06	2.45e-06
30	1	4e-07	4e-07	"C:/Python37/lib/site-packages/mo_threads/profiles.py"	"__init__"	4e-07	4e-07
80	1	0.0044553	0.0044553	"C:/Python37/lib/site-packages/mo_threads/profiles.py"	"write_profiles"	1.14e-05	1.14e-05
50	1	2.7e-06	2.7e-06	"C:/Python37/lib/cProfile.py"	"create_stats"	2.2e-06	2.2e-06
89	1	1.3899999999999999e-05	1.3899999999999999e-05	"C:/Python37/lib/pstats.py"	"__init__"	2.7e-06	2.7e-06
99	1	1.1e-05	1.1e-05	"C:/Python37/lib/pstats.py"	"init"	6.2e-06	6.2e-06
118	1	4.8e-06	4.8e-06	"C:/Python37/lib/pstats.py"	"load_stats"	1.2999999999999998e-06	1.2999999999999998e-06
31	1	8.8e-06	8.8e-06	"C:/Python37/lib/site-packages/mo_times/timer.py"	"__init__"	2.2e-06	2.2e-06
48	1	4.57e-05	4.57e-05	"C:/Python37/lib/site-packages/mo_times/timer.py"	"__enter__"	4.5e-06	4.5e-06
54	1	0.00019659999999999998	0.00019659999999999998	"C:/Python37/lib/site-packages/mo_times/timer.py"	"__exit__"	1.68e-05	1.68e-05
96	1	8.599999999999999e-06	8.599999999999999e-06	"C:/Users/kyle/code/mo-parsing/mo_parsing/core.py"	"copy"	4.2999999999999995e-06	4.2999999999999995e-06
152	1	6.42e-05	6.42e-05	"C:/Users/kyle/code/mo-parsing/mo_parsing/core.py"	"addParseAction"	4.9e-06	4.9e-06
208	121271	1.002234334671933e-05	1.2154196	"C:/Users/kyle/code/mo-parsing/mo_parsing/core.py"	"_parse"	0.5815319	4.795308853724303e-06
323	1	1.7569952999999998	1.7569952999999998	"C:/Users/kyle/code/mo-parsing/mo_parsing/core.py"	"scanString"	0.060940999999999995	0.060940999999999995
413	1	5e-07	5e-07	"C:/Users/kyle/code/mo-parsing/mo_parsing/core.py"	"listcomp"	5e-07	5e-07
378	1	1.7570162	1.7570162	"C:/Users/kyle/code/mo-parsing/mo_parsing/core.py"	"transformString"	1.07e-05	1.07e-05
528	1	3.3299999999999996e-05	3.3299999999999996e-05	"C:/Users/kyle/code/mo-parsing/mo_parsing/core.py"	"__mul__"	5.6e-06	5.6e-06
631	1	3.67e-05	3.67e-05	"C:/Users/kyle/code/mo-parsing/mo_parsing/core.py"	"__getitem__"	3.2999999999999997e-06	3.2999999999999997e-06
