self_time	method	self_time_per_call	total_time_per_call	file	line	num_calls	total_time
0.0194503	"built-in method builtins.len"	7.682764014409404e-08	7.682764014409404e-08	null	0	253168	0.0194503
3.6e-06	"built-in method builtins.max"	3.272727272727273e-07	3.272727272727273e-07	null	0	11	3.6e-06
1.8e-06	"built-in method builtins.min"	1.8e-07	1.8e-07	null	0	10	1.8e-06
4.5e-06	"built-in method builtins.round"	4.5e-06	4.5e-06	null	0	1	4.5e-06
2.3e-06	"built-in method builtins.setattr"	1.15e-06	1.15e-06	null	0	2	2.3e-06
1.6999999999999998e-06	"built-in method builtins.sorted"	1.6999999999999998e-06	1.6999999999999998e-06	null	0	1	1.6999999999999998e-06
6.5e-06	"built-in method _imp.acquire_lock"	2.9545454545454545e-07	2.9545454545454545e-07	null	0	22	6.5e-06
7.6e-06	"built-in method _imp.release_lock"	3.4545454545454544e-07	3.4545454545454544e-07	null	0	22	7.6e-06
1.19e-05	"built-in method _imp.is_builtin"	5.95e-06	5.95e-06	null	0	2	1.19e-05
5.4e-06	"built-in method _imp.is_frozen"	1.35e-06	1.35e-06	null	0	4	5.4e-06
1.1599999999999999e-05	"built-in method _imp._fix_co_filename"	2.8999999999999998e-06	2.8999999999999998e-06	null	0	4	1.1599999999999999e-05
0.0008361	"built-in method marshal.loads"	0.000209025	0.000209025	null	0	4	0.0008361
3.9e-06	"built-in method _json.encode_basestring"	1.3e-06	1.3e-06	null	0	3	3.9e-06
4e-07	"method 'disable' of '_lsprof.Profiler' objects"	4e-07	4e-07	null	0	1	4e-07
5.899999999999999e-06	"built-in method utcnow"	1.18e-06	1.18e-06	null	0	5	5.899999999999999e-06
8.19e-05	"method 'strftime' of 'datetime.date' objects"	1.638e-05	1.638e-05	null	0	5	8.19e-05
1.9e-06	"built-in method time.time"	9.5e-07	9.5e-07	null	0	2	1.9e-06
